Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-02-17,09:16,1739763960,57,57,56.5,56.5,1075
2025-02-17,09:17,1739764020,56.99,58,56.99,58,1081
2025-02-17,09:18,1739764080,57.63,57.63,57.63,57.63,1584
2025-02-17,09:20,1739764200,59.02,59.93,59.02,59.93,4867
2025-02-17,09:22,1739764320,59.88,59.88,59.88,59.88,4956
2025-02-17,09:25,1739764500,59.68,59.68,59.68,59.68,
2025-02-17,09:26,1739764560,59.64,59.64,59.59,59.59,5230
2025-02-17,09:29,1739764740,59.59,59.59,59.59,59.59,5242
2025-02-17,09:32,1739764920,59,59,59,59,6192
2025-02-17,09:33,1739764980,59,59,59,59,6252
2025-02-17,09:34,1739765040,59.27,59.27,59,59,6253
2025-02-17,09:35,1739765100,58.52,58.62,58.52,58.62,8029
2025-02-17,09:36,1739765160,58.62,58.62,58.62,58.62,8054
2025-02-17,09:38,1739765280,58.62,58.62,58.62,58.62,8064
2025-02-17,09:40,1739765400,58.46,58.51,58.46,58.51,8079
2025-02-17,09:44,1739765640,58.43,58.43,58.43,58.43,8080
2025-02-17,09:45,1739765700,58.43,58.43,58.43,58.43,8081
2025-02-17,09:46,1739765760,58.13,58.13,56.55,56.55,15789
2025-02-17,09:47,1739765820,57.36,57.59,57.36,57.59,18110
2025-02-17,09:48,1739765880,57.6,58.28,57.6,58.28,18236
2025-02-17,09:49,1739765940,58.19,58.19,58.19,58.19,18237
2025-02-17,09:51,1739766060,57.99,57.99,57.99,57.99,18242
2025-02-17,09:55,1739766300,58.05,58.05,57.92,57.92,21258
2025-02-17,09:56,1739766360,57.62,57.62,57.6,57.6,23775
2025-02-17,09:58,1739766480,57.58,57.58,57.58,57.58,23779
2025-02-17,10:04,1739766840,56.81,56.81,56.81,56.81,24213
2025-02-17,10:05,1739766900,57.51,57.51,57.51,57.51,24315
2025-02-17,10:06,1739766960,57.78,58.05,57.78,58.05,24858
2025-02-17,10:07,1739767020,58.05,58.05,58.05,58.05,24961
2025-02-17,10:08,1739767080,58.05,58.05,58.05,58.05,25129
2025-02-17,10:09,1739767140,58.18,58.18,58.18,58.18,25130
2025-02-17,10:10,1739767200,58.18,58.18,58.18,58.18,25142
2025-02-17,10:12,1739767320,57.94,57.94,57.94,57.94,25147
2025-02-17,10:14,1739767440,58.02,58.02,58.02,58.02,25152
2025-02-17,10:15,1739767500,58.09,58.09,58.09,58.09,25257
2025-02-17,10:16,1739767560,58.09,58.09,58.09,58.09,25326
2025-02-17,10:17,1739767620,58.35,58.35,58.3,58.3,25366
2025-02-17,10:19,1739767740,58.12,58.12,58.12,58.12,25367
2025-02-17,10:22,1739767920,58.11,58.35,58.11,58.35,25645
2025-02-17,10:28,1739768280,58.49,58.49,58.49,58.49,25660
2025-02-17,10:29,1739768340,58.22,58.22,58.22,58.22,25710
2025-02-17,10:32,1739768520,58.29,58.29,58.29,58.29,25711
2025-02-17,10:39,1739768940,58.79,58.79,58.79,58.79,26315
2025-02-17,10:41,1739769060,58.52,58.78,58.52,58.78,26318
2025-02-17,10:43,1739769180,58.71,58.71,58.71,58.71,26319
2025-02-17,10:56,1739769960,58.21,58.65,58.21,58.65,26821
2025-02-17,11:05,1739770500,58.52,58.52,58.52,58.52,26829
2025-02-17,11:13,1739770980,58.44,58.44,58.44,58.44,26831
2025-02-17,11:14,1739771040,58.09,58.44,58.09,58.44,27006
2025-02-17,11:18,1739771280,58.44,58.44,58.44,58.44,27031
2025-02-17,11:20,1739771400,58.5,58.5,58.5,58.5,27041
2025-02-17,11:22,1739771520,58.42,58.42,58.42,58.42,27042
2025-02-17,11:23,1739771580,58.43,58.43,58.43,58.43,27047
2025-02-17,11:24,1739771640,58.5,58.5,58.5,58.5,27116
2025-02-17,11:30,1739772000,58.43,58.43,58.43,58.43,27117
2025-02-17,11:36,1739772360,58.49,58.49,58.49,58.49,27123
2025-02-17,11:39,1739772540,58.4,58.4,58.37,58.37,27173
2025-02-17,11:46,1739772960,58.53,58.53,58.53,58.53,27855
2025-02-17,11:49,1739773140,58.77,58.77,58.77,58.77,27856
2025-02-17,11:52,1739773320,58.53,58.53,58.53,58.53,27942
2025-02-17,11:54,1739773440,58.77,58.77,58.77,58.77,27944
2025-02-17,11:56,1739773560,58.77,58.77,58.77,58.77,27945
2025-02-17,12:04,1739774040,60,60,58.85,58.85,33013
2025-02-17,12:23,1739775180,58.35,58.35,58.35,58.35,33014
2025-02-17,12:24,1739775240,58.35,58.35,58.35,58.35,33023
2025-02-17,12:33,1739775780,58.36,58.36,58.36,58.36,33024
2025-02-17,12:42,1739776320,58.64,58.64,58.64,58.64,33274
2025-02-17,12:43,1739776380,59.07,59.07,58.65,58.65,33532
2025-02-17,12:44,1739776440,59.24,59.24,59.24,59.24,33543
2025-02-17,13:05,1739777700,59.19,59.29,59.19,59.29,33666
2025-02-17,13:06,1739777760,59.29,59.29,59.29,59.29,33691
2025-02-17,13:10,1739778000,59.28,59.28,59.28,59.28,33696
2025-02-17,13:12,1739778120,59.22,59.22,59.22,59.22,33697
2025-02-17,13:43,1739779980,59.06,59.06,59.06,59.06,33698
2025-02-17,13:53,1739780580,59.05,59.05,59.05,59.05,33709
2025-02-17,13:57,1739780820,58.62,58.76,58.62,58.76,33802
2025-02-17,13:58,1739780880,59,59,59,59,33866
2025-02-17,13:59,1739780940,59.16,59.16,59.16,59.16,33867
2025-02-17,14:04,1739781240,59,59,59,59,35592
2025-02-17,14:05,1739781300,59.13,59.13,59.13,59.13,35595
2025-02-17,14:09,1739781540,59.16,59.16,59.16,59.16,35620
2025-02-17,14:13,1739781780,59.08,59.08,59.08,59.08,35621
2025-02-17,14:15,1739781900,59.01,59.01,59.01,59.01,35622
2025-02-17,14:21,1739782260,59.1,59.1,59.1,59.1,35641
2025-02-17,14:27,1739782620,59.15,59.15,59.15,59.15,
2025-02-17,14:28,1739782680,59.15,59.15,59.15,59.15,35947
2025-02-17,14:35,1739783100,59.4,59.4,59.4,59.4,35950
2025-02-17,14:36,1739783160,59.11,59.11,59.11,59.11,36050
2025-02-17,14:39,1739783340,59.35,59.35,59.35,59.35,36055
2025-02-17,14:40,1739783400,59.25,59.39,59.25,59.39,36065
2025-02-17,14:46,1739783760,59.19,59.19,59.19,59.19,36074
2025-02-17,14:47,1739783820,59.11,59.11,59.11,59.11,36106
2025-02-17,14:53,1739784180,59.11,59.11,59.11,59.11,36185
2025-02-17,14:55,1739784300,59.1,59.1,59.1,59.1,
2025-02-17,14:56,1739784360,59.1,59.1,59.1,59.1,36314
2025-02-17,15:00,1739784600,59.19,59.19,59.18,59.18,36752
2025-02-17,15:03,1739784780,59.25,59.25,59.25,59.25,36769
2025-02-17,15:06,1739784960,59.25,59.25,59.25,59.25,36781
2025-02-17,15:09,1739785140,59.13,59.13,59.1,59.1,36840
2025-02-17,15:10,1739785200,59.1,59.1,59.1,59.1,36870
2025-02-17,15:11,1739785260,59.11,59.12,59.1,59.1,36918
2025-02-17,15:12,1739785320,59.15,59.18,59.15,59.18,36924
