Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-02-17,09:15,1739763900,40.83,40.83,39.9,39.9,662
2025-02-17,09:16,1739763960,39.81,40.49,39.81,40.49,696
2025-02-17,09:18,1739764080,39.9,41.2,39.72,41,1541
2025-02-17,09:19,1739764140,40.81,40.81,40,40,1798
2025-02-17,09:20,1739764200,40.69,40.69,39.51,39.51,2221
2025-02-17,09:21,1739764260,39.47,39.8,39.47,39.8,3164
2025-02-17,09:24,1739764440,40.19,40.19,40.19,40.19,3182
2025-02-17,09:26,1739764560,40.29,40.29,40.21,40.21,3316
2025-02-17,09:27,1739764620,40.19,40.19,40.19,40.19,3516
2025-02-17,09:29,1739764740,39.49,39.49,39.49,39.49,3692
2025-02-17,09:32,1739764920,39.37,39.4,39.37,39.38,3839
2025-02-17,09:33,1739764980,39.59,39.8,39.36,39.8,4781
2025-02-17,09:34,1739765040,40.01,40.18,39.8,40.17,5141
2025-02-17,09:35,1739765100,39.81,40.09,39.81,40.09,5798
2025-02-17,09:36,1739765160,39.81,40.17,39.81,39.86,5943
2025-02-17,09:39,1739765340,40,40,40,40,5944
2025-02-17,09:40,1739765400,39.94,39.94,39.94,39.94,5945
2025-02-17,09:42,1739765520,39.9,39.9,39.9,39.9,5965
2025-02-17,09:45,1739765700,39.9,39.9,39.9,39.9,5969
2025-02-17,09:48,1739765880,39.78,39.78,39.77,39.77,5983
2025-02-17,09:54,1739766240,39.69,39.69,39.59,39.59,6153
2025-02-17,09:58,1739766480,39.81,39.81,39.81,39.81,6154
2025-02-17,10:00,1739766600,39.87,39.87,39.87,39.87,6156
2025-02-17,10:10,1739767200,39.65,39.65,39.65,39.65,6157
2025-02-17,10:23,1739767980,39.63,39.63,39.63,39.63,6162
2025-02-17,10:25,1739768100,39.63,39.63,39.63,39.63,6166
2025-02-17,10:26,1739768160,39.64,39.71,39.64,39.71,6207
2025-02-17,10:28,1739768280,39.75,39.75,39.75,39.75,6208
2025-02-17,10:46,1739769360,39.91,39.91,39.91,39.91,6209
2025-02-17,10:52,1739769720,39.8,39.8,39.8,39.8,6359
2025-02-17,10:54,1739769840,39.91,39.91,39.91,39.91,6379
2025-02-17,10:55,1739769900,39.8,39.8,39.8,39.8,6380
2025-02-17,11:14,1739771040,39.99,39.99,39.99,39.99,6426
2025-02-17,11:18,1739771280,39.55,39.55,39.55,39.55,6736
2025-02-17,11:20,1739771400,39.35,39.35,39.35,39.35,6746
2025-02-17,11:27,1739771820,39.33,39.33,39.33,39.33,7096
2025-02-17,11:34,1739772240,39.25,39.25,39.25,39.25,7101
2025-02-17,11:35,1739772300,39.26,39.26,39.26,39.26,7109
2025-02-17,11:48,1739773080,39.25,39.25,39.21,39.25,7140
2025-02-17,11:52,1739773320,39.25,39.25,39.25,39.25,7172
2025-02-17,11:55,1739773500,39.31,39.31,39.31,39.31,
2025-02-17,11:56,1739773560,39.2,39.2,39.2,39.2,7174
2025-02-17,11:58,1739773680,39.12,39.12,39.12,39.12,7175
2025-02-17,12:20,1739775000,39.24,39.24,39.24,39.24,7218
2025-02-17,12:24,1739775240,39.24,39.24,39.24,39.24,7353
2025-02-17,12:39,1739776140,39.13,39.13,39.13,39.13,7357
2025-02-17,12:48,1739776680,39.1,39.1,39.1,39.1,7466
2025-02-17,13:24,1739778840,39.21,39.21,39.21,39.21,7486
2025-02-17,13:26,1739778960,38.56,38.57,38.56,38.57,8677
2025-02-17,13:31,1739779260,38.58,38.58,38.58,38.58,8678
2025-02-17,13:35,1739779500,38.78,38.92,38.75,38.92,8977
2025-02-17,13:36,1739779560,38.97,38.98,38.92,38.92,9112
2025-02-17,13:40,1739779800,38.84,39.02,38.84,39.02,9199
2025-02-17,13:44,1739780040,38.78,38.78,38.78,38.78,9398
2025-02-17,13:45,1739780100,38.87,38.87,38.87,38.87,9501
2025-02-17,13:46,1739780160,38.88,38.88,38.88,38.88,9502
2025-02-17,13:57,1739780820,38.8,38.8,38.8,38.8,9542
2025-02-17,14:01,1739781060,38.82,38.82,38.82,38.82,9750
2025-02-17,14:07,1739781420,39.14,39.14,39.14,39.14,9753
2025-02-17,14:29,1739782740,38.86,38.86,38.86,38.86,9756
2025-02-17,14:30,1739782800,38.61,38.7,38.58,38.7,10951
2025-02-17,14:39,1739783340,38.7,38.7,38.7,38.7,10956
2025-02-17,14:44,1739783640,38.71,38.71,38.52,38.52,11102
2025-02-17,14:58,1739784480,38.64,38.64,38.64,38.64,11301
2025-02-17,15:00,1739784600,39.08,39.08,38.82,38.82,11606
2025-02-17,15:05,1739784900,38.97,38.97,38.97,38.97,11608
2025-02-17,15:08,1739785080,38.72,38.72,38.72,38.72,11689
2025-02-17,15:13,1739785380,38.72,38.72,38.72,38.72,11694
2025-02-17,15:16,1739785560,38.56,38.56,38.56,38.56,11787
2025-02-17,15:19,1739785740,38.71,38.71,38.71,38.71,11896
2025-02-17,15:22,1739785920,38.71,38.71,38.71,38.71,11933
2025-02-17,15:24,1739786040,38.71,38.71,38.71,38.71,11968
2025-02-17,15:25,1739786100,38.56,38.56,38.56,38.56,11983
2025-02-17,15:28,1739786280,38.56,38.56,38.56,38.56,12262
2025-02-17,15:29,1739786340,38.56,38.56,38.56,38.56,12268
2025-02-18,09:41,1739851860,38.82,38.85,38.82,38.83,57
2025-02-18,09:47,1739852220,38.9,38.9,38.9,38.9,58
2025-02-18,09:49,1739852340,38.81,38.81,38.81,38.81,143
2025-02-18,10:00,1739853000,38.93,38.93,38.93,38.93,144
2025-02-18,10:10,1739853600,38.83,38.83,38.83,38.83,151
2025-02-18,10:21,1739854260,38.85,38.85,38.85,38.85,152
2025-02-18,10:36,1739855160,38.71,38.71,38.41,38.49,697
2025-02-18,10:39,1739855340,38.22,38.22,38.22,38.22,730
2025-02-18,10:40,1739855400,38.39,38.39,38.35,38.37,842
2025-02-18,10:41,1739855460,38.38,38.59,38.38,38.55,1031
2025-02-18,10:45,1739855700,38.11,38.36,38.11,38.36,1835
2025-02-18,10:50,1739856000,38.25,38.29,38.25,38.29,1872
2025-02-18,10:53,1739856180,38.21,38.21,37.25,37.25,4324
2025-02-18,10:54,1739856240,37.22,37.5,37.12,37.5,5695
2025-02-18,10:55,1739856300,37.5,37.5,37.5,37.5,5716
