Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-02-17,09:15,1739763900,192.85,192.85,190.01,190.01,19
2025-02-17,09:16,1739763960,190.17,190.37,190.17,190.37,43
2025-02-17,09:17,1739764020,190.11,190.27,190.11,190.27,323
2025-02-17,09:18,1739764080,190.24,190.99,190.24,190.99,336
2025-02-17,09:19,1739764140,190.19,190.19,190.19,190.19,346
2025-02-17,09:20,1739764200,191,192.9,190.2,190.2,502
2025-02-17,09:21,1739764260,192.73,192.73,192.73,192.73,503
2025-02-17,09:22,1739764320,192.83,192.83,192.83,192.83,504
2025-02-17,09:23,1739764380,192.79,192.79,192.79,192.79,524
2025-02-17,09:24,1739764440,193.05,193.05,193.05,193.05,724
2025-02-17,09:26,1739764560,191.71,191.71,191.71,191.71,777
2025-02-17,09:27,1739764620,191.31,191.31,190.9,190.92,791
2025-02-17,09:28,1739764680,191.56,191.56,190.51,190.86,905
2025-02-17,09:29,1739764740,190.33,191.68,190.33,191.68,1068
2025-02-17,09:30,1739764800,191.26,191.26,191.02,191.02,1113
2025-02-17,09:31,1739764860,190.54,190.54,190.54,190.54,1116
2025-02-17,09:32,1739764920,190.13,190.13,189.05,189.83,1765
2025-02-17,09:33,1739764980,189.05,189.05,188.6,189.05,1812
2025-02-17,09:34,1739765040,189.17,189.17,189.17,189.17,1862
2025-02-17,09:35,1739765100,189.14,189.14,188.25,188.25,1940
2025-02-17,09:36,1739765160,189.28,189.85,189.28,189.85,2044
2025-02-17,09:37,1739765220,189.89,190.03,189.89,190.03,2054
2025-02-17,09:38,1739765280,189.51,190.51,189.37,190.35,2205
2025-02-17,09:39,1739765340,190.41,190.41,190.16,190.16,2239
2025-02-17,09:40,1739765400,189.44,189.44,189.44,189.44,2259
2025-02-17,09:41,1739765460,190.38,190.38,190.04,190.26,2431
2025-02-17,09:42,1739765520,188.12,188.12,188.12,188.12,2631
2025-02-17,09:43,1739765580,189.37,189.37,189.37,189.37,2633
2025-02-17,09:44,1739765640,189.78,191.16,189.78,190.35,2904
2025-02-17,09:45,1739765700,190.63,190.63,190.63,190.63,2930
2025-02-17,09:46,1739765760,191.58,191.58,190.88,190.88,3016
2025-02-17,09:47,1739765820,190.29,190.37,189,189.43,3132
2025-02-17,09:48,1739765880,189,189.52,189,189.52,3157
2025-02-17,09:49,1739765940,189.8,190.78,189.8,190.78,3373
2025-02-17,09:50,1739766000,189.94,189.94,189.31,189.31,3420
2025-02-17,09:51,1739766060,188.83,190.18,188.78,189.3,3591
2025-02-17,09:52,1739766120,188.71,188.71,188.71,188.71,3649
2025-02-17,09:53,1739766180,189.36,189.36,188.76,188.78,3660
2025-02-17,09:54,1739766240,188.72,188.75,188.5,188.5,3680
2025-02-17,09:55,1739766300,188.37,188.37,187.45,187.53,4478
2025-02-17,09:56,1739766360,187.27,187.27,187.27,187.27,4480
2025-02-17,09:57,1739766420,187.26,188.99,187.26,188.99,4616
2025-02-17,09:58,1739766480,188.24,188.24,188.24,188.24,4621
2025-02-17,09:59,1739766540,188.46,188.46,188.46,188.46,4631
2025-02-17,10:00,1739766600,188.47,188.47,187.65,187.65,4664
2025-02-17,10:01,1739766660,187.72,188.38,187.5,187.5,4692
2025-02-17,10:02,1739766720,187.4,187.49,187.4,187.49,4697
2025-02-17,10:03,1739766780,187.41,187.41,187.23,187.23,4723
2025-02-17,10:04,1739766840,187.92,187.92,187.92,187.92,4725
2025-02-17,10:05,1739766900,187.89,187.89,187.89,187.89,4775
2025-02-17,10:07,1739767020,188.34,188.89,188.34,188.89,4851
2025-02-17,10:08,1739767080,188.25,188.92,188.25,188.92,4857
2025-02-17,10:09,1739767140,189.46,189.46,189.46,189.46,4917
2025-02-17,10:10,1739767200,188.92,189.4,188.92,189.4,4921
2025-02-17,10:11,1739767260,187.82,187.82,187.82,187.82,5043
2025-02-17,10:12,1739767320,188.53,188.53,187.55,187.56,5140
2025-02-17,10:15,1739767500,187.5,187.56,187.5,187.56,5271
2025-02-17,10:16,1739767560,187.76,187.76,187.76,187.76,5274
2025-02-17,10:19,1739767740,187.74,187.74,187.74,187.74,5280
2025-02-17,10:20,1739767800,187.55,187.55,187.33,187.33,5296
2025-02-17,10:21,1739767860,187.57,188.28,187.57,188.16,5762
2025-02-17,10:22,1739767920,188.39,188.99,188.29,188.99,5780
2025-02-17,10:23,1739767980,188.54,188.54,188.54,188.54,5782
2025-02-17,10:24,1739768040,188.4,188.4,188.4,188.4,5788
2025-02-17,10:25,1739768100,187.62,188.39,187.62,188.39,5827
2025-02-17,10:26,1739768160,187.69,188.27,187.62,188.27,5842
2025-02-17,10:28,1739768280,188.55,188.55,188.55,188.55,
2025-02-17,10:29,1739768340,188.55,188.55,188.55,188.55,5852
2025-02-17,10:32,1739768520,188.28,188.28,188.28,188.28,5856
2025-02-17,10:33,1739768580,188.27,188.27,187.98,187.99,6450
2025-02-17,10:34,1739768640,188,189,188,189,7384
2025-02-17,10:35,1739768700,188.9,188.9,188.9,188.9,7387
2025-02-17,10:36,1739768760,189,189,188.99,188.99,7593
2025-02-17,10:38,1739768880,189,189,188.05,188.09,7649
2025-02-17,10:39,1739768940,188.05,188.05,188.05,188.05,7654
2025-02-17,10:40,1739769000,188.05,188.05,188.05,188.05,7660
2025-02-17,10:41,1739769060,188,188,187.95,187.95,9000
2025-02-17,10:42,1739769120,187.95,187.95,187.95,187.95,9119
2025-02-17,10:43,1739769180,188.06,188.06,188.06,188.06,9133
2025-02-17,10:44,1739769240,187,187,187,187,9241
2025-02-17,10:46,1739769360,187,187,187,187,9339
2025-02-17,10:47,1739769420,187,187,187,187,9379
2025-02-17,10:48,1739769480,187,187,187,187,10010
2025-02-17,10:49,1739769540,186.2,186.53,186.2,186.37,10054
2025-02-17,10:50,1739769600,186.2,186.24,185.2,186,10278
2025-02-17,10:51,1739769660,186.35,186.35,186.27,186.28,10506
2025-02-17,10:52,1739769720,186.27,186.27,186.12,186.12,10517
2025-02-17,10:53,1739769780,186.14,186.15,186.12,186.14,10562
2025-02-17,10:54,1739769840,186.12,186.27,186.11,186.24,10744
2025-02-17,10:55,1739769900,186.01,186.01,186.01,186.01,10750
2025-02-17,10:56,1739769960,186.1,186.1,186.1,186.1,10766
2025-02-17,10:57,1739770020,186.1,186.1,186.1,186.1,10767
2025-02-17,10:58,1739770080,186.25,186.25,185.82,185.82,10836
2025-02-17,10:59,1739770140,185.65,185.65,185.41,185.56,10905
2025-02-17,11:00,1739770200,185.87,185.87,185.87,185.87,10925
2025-02-17,11:01,1739770260,186.07,186.48,185.88,185.88,10947
2025-02-17,11:02,1739770320,185.98,185.98,185.98,185.98,10959
2025-02-17,11:03,1739770380,185.7,185.95,185.31,185.31,11029
2025-02-17,11:04,1739770440,185.19,185.19,183.56,183.56,11492
2025-02-17,11:05,1739770500,183.54,183.54,183,183,11541
2025-02-17,11:06,1739770560,183.26,183.3,183.19,183.3,11572
2025-02-17,11:07,1739770620,183,183,183,183,11586
2025-02-17,11:08,1739770680,183.3,183.3,183.3,183.3,11606
2025-02-17,11:09,1739770740,182.98,182.98,182.98,182.98,11607
2025-02-17,11:10,1739770800,183.03,183.95,183.03,183.95,11885
2025-02-17,11:12,1739770920,183.11,183.21,183.07,183.07,11911
2025-02-17,11:13,1739770980,183.01,183.94,183.01,183.94,12055
2025-02-17,11:14,1739771040,183.22,183.55,183.22,183.5,12069
2025-02-17,11:16,1739771160,183.88,183.88,183.88,183.88,12079
2025-02-17,11:19,1739771340,183.55,183.55,183.27,183.27,12083
2025-02-17,11:20,1739771400,183.67,183.67,183.67,183.67,12084
2025-02-17,11:21,1739771460,183.49,183.95,183.33,183.95,12168
