Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-02-17,09:26,1739764560,47.3,48.67,47.3,48.67,77
2025-02-17,09:27,1739764620,48.95,48.95,48.95,48.95,105
2025-02-17,09:51,1739766060,47.42,47.42,47.42,47.42,155
2025-02-17,09:56,1739766360,47.3,47.3,47.3,47.3,177
2025-02-17,10:25,1739768100,47.31,47.31,47.31,47.31,179
2025-02-17,10:56,1739769960,47.86,47.86,47.86,47.86,225
2025-02-17,10:57,1739770020,47.86,47.86,47.86,47.86,235
2025-02-17,10:58,1739770080,47.86,47.86,47.86,47.86,240
2025-02-17,11:15,1739771100,47.99,47.99,47.99,47.99,340
2025-02-17,11:28,1739771880,47.5,47.5,47.5,47.5,420
2025-02-17,11:35,1739772300,47.72,47.99,47.72,47.99,521
2025-02-17,11:37,1739772420,47.87,47.87,47.87,47.87,522
2025-02-17,11:40,1739772600,47.88,47.88,47.88,47.88,
2025-02-17,11:41,1739772660,47.89,47.89,47.89,47.89,544
2025-02-17,11:55,1739773500,47.61,47.61,47.61,47.61,559
2025-02-17,12:02,1739773920,47.81,47.81,47.81,47.81,560
2025-02-17,12:34,1739775840,47.61,47.82,47.61,47.82,573
2025-02-17,13:10,1739778000,47.82,47.82,47.82,47.82,574
2025-02-17,13:12,1739778120,47.84,47.84,47.84,47.84,575
2025-02-17,13:24,1739778840,47.88,47.88,47.88,47.88,576
2025-02-17,13:44,1739780040,47.8,47.8,47.8,47.8,676
2025-02-17,13:54,1739780640,47.95,47.95,47.95,47.95,679
2025-02-17,14:27,1739782620,47.71,47.71,47.71,47.71,680
2025-02-17,14:46,1739783760,47.71,47.71,47.71,47.71,687
2025-02-17,14:53,1739784180,47.72,47.72,47.72,47.72,689
2025-02-17,15:00,1739784600,47.71,47.71,47.57,47.57,692
2025-02-17,15:01,1739784660,47.56,47.56,47.56,47.56,742
2025-02-17,15:19,1739785740,47.57,47.57,47.57,47.57,751
2025-02-17,15:24,1739786040,47.57,47.57,47.57,47.57,755
2025-02-17,15:25,1739786100,47.56,47.56,47.56,47.56,798
2025-02-17,15:26,1739786160,47.5,47.5,47.5,47.5,958
2025-02-17,15:28,1739786280,47.5,47.5,47.5,47.5,959
2025-02-17,15:29,1739786340,47.51,47.75,47.51,47.75,1014
2025-02-18,09:16,1739850360,47.56,47.56,47.22,47.22,20
2025-02-18,09:18,1739850480,47.22,47.22,47.22,47.22,21
2025-02-18,09:20,1739850600,47.22,47.22,47.22,47.22,22
2025-02-18,09:22,1739850720,47.22,47.22,47.22,47.22,24
2025-02-18,09:25,1739850900,47.22,47.22,47.22,47.22,25
2025-02-18,09:28,1739851080,47.22,47.22,47.22,47.22,37
2025-02-18,09:29,1739851140,47.21,47.21,47.21,47.21,58
2025-02-18,09:30,1739851200,47.52,47.52,47.52,47.52,60
2025-02-18,09:49,1739852340,47.59,47.59,47.59,47.59,110
2025-02-18,09:52,1739852520,47.23,47.23,47.23,47.23,111
2025-02-18,09:53,1739852580,47.21,47.21,47.21,47.21,130
2025-02-18,09:54,1739852640,47.2,47.2,47.2,47.2,147
2025-02-18,10:02,1739853120,47.23,47.23,47.23,47.23,163
2025-02-18,10:03,1739853180,47.47,47.47,47.47,47.47,183
2025-02-18,10:04,1739853240,47.46,47.46,47.46,47.46,184
2025-02-18,10:15,1739853900,47.44,47.44,47.44,47.44,288
2025-02-18,10:25,1739854500,47.78,47.78,47.78,47.78,337
2025-02-18,10:27,1739854620,47.79,47.83,47.79,47.83,343
2025-02-18,10:41,1739855460,48.38,48.38,48.38,48.38,593
2025-02-18,10:44,1739855640,48.05,48.05,48.05,48.05,594
2025-02-18,10:45,1739855700,47.87,48.12,47.87,48.11,603
2025-02-18,10:50,1739856000,48.38,48.38,48.38,48.38,605
2025-02-18,10:51,1739856060,47.58,47.58,47.58,47.58,612
2025-02-18,10:52,1739856120,48.14,48.14,48.07,48.07,627
2025-02-18,11:15,1739857500,48.27,48.73,48.27,48.73,630
2025-02-18,11:17,1739857620,48.79,48.79,48.79,48.79,637
2025-02-18,11:18,1739857680,48.97,48.97,48.97,48.97,638
2025-02-18,11:30,1739858400,48.96,48.96,48.96,48.96,648
2025-02-18,11:31,1739858460,48.96,48.96,48.96,48.96,658
2025-02-18,12:03,1739860380,48.21,48.21,48.21,48.21,687
2025-02-18,12:10,1739860800,48.25,48.25,48.25,48.25,688
2025-02-18,12:12,1739860920,48.25,48.25,48.25,48.25,707
2025-02-18,12:13,1739860980,47,47,47,47,1988
2025-02-18,12:17,1739861220,47.95,47.99,47.76,47.76,2007
2025-02-18,12:18,1739861280,47.4,47.4,47.4,47.4,2008
2025-02-18,12:23,1739861580,47.4,47.4,47.4,47.4,2012
2025-02-18,12:24,1739861640,47.4,47.4,47.4,47.4,2058
2025-02-18,12:29,1739861940,47.39,47.39,47.39,47.39,2059
2025-02-18,12:30,1739862000,47.38,47.38,47.38,47.38,2060
