Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-02-17,10:15,1739767500,3.52,3.52,3.52,3.52,
2025-02-17,10:31,1739768460,3.52,3.52,3.52,3.52,
2025-02-17,11:14,1739771040,3.45,3.45,3.45,3.45,2296
2025-02-17,11:30,1739772000,3.45,3.45,3.45,3.45,
2025-02-17,12:14,1739774640,3.45,3.45,3.45,3.45,4830
2025-02-17,12:30,1739775600,3.45,3.45,3.45,3.45,
2025-02-17,13:15,1739778300,3.45,3.45,3.45,3.45,8550
2025-02-17,13:30,1739779200,3.45,3.45,3.45,3.45,
2025-02-17,14:15,1739781900,3.45,3.45,3.45,3.45,9885
2025-02-17,14:33,1739782980,3.45,3.45,3.45,3.45,
2025-02-17,15:14,1739785440,3.45,3.45,3.45,3.45,12694
2025-02-18,10:15,1739853900,3.45,3.45,3.45,3.45,
2025-02-18,11:14,1739857440,3.45,3.45,3.45,3.45,3300
2025-02-18,12:15,1739861100,3.45,3.45,3.45,3.45,3742
2025-02-18,13:15,1739864700,3.44,3.44,3.44,3.44,4746
2025-02-18,14:12,1739868120,3.45,3.45,3.44,3.44,
2025-02-18,15:14,1739871840,3.44,3.44,3.44,3.44,7994
2025-02-19,10:14,1739940240,3.44,3.44,3.44,3.44,
2025-02-19,11:12,1739943720,3.42,3.42,3.42,3.42,
2025-02-19,11:13,1739943780,3.44,3.44,3.44,3.44,
2025-02-19,11:14,1739943840,3.42,3.42,3.42,3.42,5024
2025-02-19,12:14,1739947440,3.42,3.42,3.42,3.42,7309
2025-02-19,13:12,1739950920,3.41,3.41,3.41,3.41,
2025-02-19,13:14,1739951040,3.42,3.42,3.41,3.41,7668
2025-02-19,14:12,1739954520,3.4,3.4,3.4,3.4,
2025-02-19,14:14,1739954640,3.41,3.41,3.4,3.4,21456
2025-02-19,15:15,1739958300,3.4,3.4,3.4,3.4,21783
2025-02-20,10:14,1740026640,3.41,3.41,3.41,3.41,
2025-02-20,11:10,1740030000,3.4,3.4,3.4,3.4,
2025-02-20,11:11,1740030060,3.41,3.41,3.41,3.41,
2025-02-20,11:15,1740030300,3.4,3.4,3.4,3.4,2114
2025-02-20,12:14,1740033840,3.4,3.4,3.4,3.4,3665
2025-02-20,13:14,1740037440,3.4,3.4,3.4,3.4,4615
2025-02-20,14:10,1740040800,3.46,3.46,3.46,3.46,
2025-02-20,14:14,1740041040,3.4,3.46,3.4,3.46,13209
2025-02-20,15:14,1740044640,3.46,3.46,3.46,3.46,13361
2025-02-21,10:14,1740113040,3.51,3.51,3.51,3.51,
2025-02-21,11:13,1740116580,3.52,3.52,3.52,3.52,
2025-02-21,11:14,1740116640,3.51,3.52,3.51,3.52,1625
2025-02-21,12:15,1740120300,3.52,3.52,3.52,3.52,2125
2025-02-21,13:14,1740123840,3.52,3.52,3.52,3.52,3394
2025-02-21,14:14,1740127440,3.52,3.52,3.52,3.52,3404
2025-02-21,15:15,1740131100,3.51,3.51,3.51,3.51,7890
2025-02-24,10:15,1740372300,3.5,3.5,3.5,3.5,
2025-02-24,10:32,1740373320,3.5,3.5,3.5,3.5,
2025-02-24,11:14,1740375840,3.5,3.5,3.5,3.5,3682
2025-02-24,11:32,1740376920,3.5,3.5,3.5,3.5,
2025-02-24,12:15,1740379500,3.51,3.51,3.51,3.51,6082
2025-02-24,12:30,1740380400,3.51,3.51,3.51,3.51,
2025-02-24,13:15,1740383100,3.5,3.5,3.5,3.5,8958
2025-02-24,13:32,1740384120,3.5,3.5,3.5,3.5,
2025-02-24,14:14,1740386640,3.5,3.5,3.5,3.5,9784
2025-02-24,14:30,1740387600,3.5,3.5,3.5,3.5,
2025-02-24,15:14,1740390240,3.45,3.45,3.45,3.45,9880
2025-02-25,10:15,1740458700,3.43,3.43,3.43,3.43,
2025-02-25,10:31,1740459660,3.43,3.43,3.43,3.43,
2025-02-25,11:14,1740462240,3.43,3.43,3.43,3.43,4300
2025-02-25,11:31,1740463260,3.43,3.43,3.43,3.43,
2025-02-25,12:15,1740465900,3.42,3.42,3.42,3.42,9512
2025-02-25,12:32,1740466920,3.42,3.42,3.42,3.42,
2025-02-25,13:14,1740469440,3.42,3.42,3.42,3.42,15552
2025-02-25,13:35,1740470700,3.42,3.42,3.42,3.42,
2025-02-25,14:14,1740473040,3.4,3.4,3.4,3.4,17431
2025-02-25,14:30,1740474000,3.4,3.4,3.4,3.4,
2025-02-25,15:14,1740476640,3.38,3.38,3.38,3.38,18267
2025-02-27,10:14,1740631440,3.37,3.37,3.37,3.37,
2025-02-27,10:31,1740632460,3.37,3.37,3.37,3.37,
2025-02-27,11:14,1740635040,3.33,3.33,3.33,3.33,5129
2025-02-27,11:31,1740636060,3.33,3.33,3.33,3.33,
2025-02-27,12:14,1740638640,3.32,3.32,3.32,3.32,9594
2025-02-27,12:37,1740640020,3.32,3.32,3.32,3.32,
2025-02-27,13:14,1740642240,3.32,3.32,3.32,3.32,9987
2025-02-27,13:31,1740643260,3.32,3.32,3.32,3.32,
2025-02-27,14:14,1740645840,3.31,3.31,3.31,3.31,15837
2025-02-27,14:30,1740646800,3.31,3.31,3.31,3.31,
2025-02-27,15:14,1740649440,3.32,3.32,3.32,3.32,51863
2025-02-28,10:14,1740717840,3.25,3.25,3.25,3.25,
2025-02-28,10:31,1740718860,3.25,3.25,3.25,3.25,
2025-02-28,11:14,1740721440,3.25,3.25,3.25,3.25,5156
2025-02-28,11:30,1740722400,3.25,3.25,3.25,3.25,
2025-02-28,12:14,1740725040,3.25,3.25,3.25,3.25,6441
2025-02-28,12:30,1740726000,3.25,3.25,3.25,3.25,
2025-02-28,13:14,1740728640,3.25,3.25,3.25,3.25,6958
2025-02-28,13:32,1740729720,3.25,3.25,3.25,3.25,
2025-02-28,14:15,1740732300,3.25,3.25,3.25,3.25,7274
2025-02-28,14:32,1740733320,3.25,3.25,3.25,3.25,
2025-02-28,15:15,1740735900,3.25,3.25,3.25,3.25,12740
2025-03-03,10:14,1740977040,3.2,3.2,3.2,3.2,
2025-03-03,10:31,1740978060,3.2,3.2,3.2,3.2,
2025-03-03,11:14,1740980640,3.18,3.18,3.18,3.18,12815
2025-03-03,12:14,1740984240,3.18,3.18,3.18,3.18,15100
2025-03-03,13:14,1740987840,3.18,3.18,3.18,3.18,17729
2025-03-03,13:30,1740988800,3.18,3.18,3.18,3.18,
2025-03-03,14:14,1740991440,3.18,3.18,3.18,3.18,51626
2025-03-03,15:15,1740995100,3.18,3.18,3.18,3.18,69207
2025-03-04,10:14,1741063440,3.11,3.11,3.11,3.11,
2025-03-04,11:14,1741067040,3.11,3.11,3.11,3.11,16183
2025-03-04,12:15,1741070700,3.11,3.11,3.11,3.11,19960
2025-03-04,13:14,1741074240,3.11,3.11,3.11,3.11,24303
2025-03-04,14:14,1741077840,3.11,3.11,3.11,3.11,29383
2025-03-04,15:14,1741081440,3.11,3.11,3.11,3.11,33199
2025-03-05,10:14,1741149840,3.11,3.11,3.11,3.11,
2025-03-05,11:14,1741153440,3.11,3.11,3.11,3.11,7450
2025-03-05,12:15,1741157100,3.11,3.11,3.11,3.11,40150
2025-03-05,13:14,1741160640,3.11,3.11,3.11,3.11,40863
2025-03-05,14:15,1741164300,3.11,3.11,3.11,3.11,41998
2025-03-05,15:14,1741167840,3.11,3.11,3.11,3.11,49522
2025-03-06,10:15,1741236300,3.11,3.11,3.11,3.11,
2025-03-06,11:15,1741239900,3.11,3.11,3.11,3.11,6738
2025-03-06,12:14,1741243440,3.1,3.11,3.1,3.1,12626
2025-03-06,13:14,1741247040,3.1,3.1,3.1,3.1,33258
2025-03-06,14:14,1741250640,3.09,3.1,3.09,3.09,34099
2025-03-06,15:14,1741254240,3.09,3.09,3.09,3.09,37940
2025-03-07,10:14,1741322640,3.09,3.09,3.09,3.09,
2025-03-07,11:14,1741326240,3.08,3.09,3.08,3.08,6562
2025-03-07,12:14,1741329840,3.08,3.08,3.08,3.08,9612
2025-03-07,13:14,1741333440,3.08,3.08,3.08,3.08,35080
2025-03-07,14:14,1741337040,3.06,3.08,3.06,3.06,37269
2025-03-07,15:14,1741340640,3.02,3.02,3.02,3.02,54172
2025-03-10,09:15,1741578300,2.9,3.02,2.9,3.02,25362
2025-03-10,09:18,1741578480,3.02,3.02,3.02,3.02,26200
2025-03-10,09:20,1741578600,3.02,3.02,3.02,3.02,26236
2025-03-10,09:30,1741579200,3.04,3.04,3.04,3.04,26536
2025-03-10,09:32,1741579320,3.17,3.17,3.17,3.17,27036
2025-03-10,09:33,1741579380,3.17,3.17,3.17,3.17,28008
2025-03-10,09:34,1741579440,3.17,3.17,3.17,3.17,28208
2025-03-10,09:36,1741579560,3.16,3.16,3.16,3.16,28308
2025-03-10,09:37,1741579620,3.17,3.17,3.17,3.17,31830
2025-03-10,09:41,1741579860,3.17,3.17,3.17,3.17,32830
2025-03-10,09:43,1741579980,3.17,3.17,3.17,3.17,35200
2025-03-10,09:45,1741580100,3.17,3.17,3.17,3.17,39260
2025-03-10,09:48,1741580280,3.17,3.17,3.17,3.17,49260
2025-03-10,09:50,1741580400,3.17,3.17,3.17,3.17,49760
2025-03-10,10:00,1741581000,3.17,3.17,3.17,3.17,77824
2025-03-10,10:03,1741581180,3.17,3.17,3.17,3.17,77825
2025-03-10,10:04,1741581240,3.04,3.04,3.04,3.04,77826
2025-03-10,10:10,1741581600,3.17,3.17,3.17,3.17,78326
2025-03-10,10:13,1741581780,3.17,3.17,3.17,3.17,78396
2025-03-10,10:18,1741582080,3.12,3.17,3.12,3.17,78537
2025-03-10,10:24,1741582440,3.17,3.17,3.17,3.17,78538
2025-03-10,10:26,1741582560,3.03,3.03,3.03,3.03,79048
2025-03-10,10:28,1741582680,3.16,3.16,3.16,3.16,79148
2025-03-10,10:31,1741582860,3.16,3.16,3.16,3.16,79173
2025-03-10,10:34,1741583040,3.16,3.16,3.16,3.16,79573
2025-03-10,10:35,1741583100,3.16,3.16,3.16,3.16,79598
2025-03-10,10:36,1741583160,3.16,3.16,3.16,3.16,80248
2025-03-10,10:37,1741583220,3.15,3.15,3.15,3.15,80298
2025-03-10,10:38,1741583280,3.15,3.15,3.15,3.15,80348
2025-03-10,10:40,1741583400,3.05,3.05,3.05,3.05,80358
2025-03-10,10:42,1741583520,3.16,3.16,3.16,3.16,80359
2025-03-10,10:43,1741583580,3.16,3.16,3.16,3.16,90359
2025-03-10,10:49,1741583940,3.16,3.16,3.16,3.16,90959
2025-03-10,10:51,1741584060,3.16,3.16,3.16,3.16,91117
2025-03-10,10:53,1741584180,3.16,3.16,3.16,3.16,91128
2025-03-10,11:00,1741584600,3.16,3.16,3.16,3.16,91228
2025-03-10,11:01,1741584660,3.16,3.16,3.16,3.16,91442
2025-03-10,11:03,1741584780,3.16,3.16,3.16,3.16,91445
2025-03-10,11:04,1741584840,3.05,3.05,3.05,3.05,91545
2025-03-10,11:11,1741585260,3.05,3.05,3.05,3.05,91735
2025-03-10,11:13,1741585380,3.02,3.02,3.02,3.02,92045
2025-03-10,11:18,1741585680,3.16,3.16,3.16,3.16,92145
2025-03-10,11:38,1741586880,3.14,3.14,3.14,3.14,92149
2025-03-10,11:41,1741587060,3.15,3.15,3.15,3.15,92499
2025-03-10,11:43,1741587180,3.02,3.15,3.02,3.15,93379
2025-03-10,11:44,1741587240,3.15,3.15,3.15,3.15,93679
2025-03-10,11:52,1741587720,3.15,3.15,3.15,3.15,93779
2025-03-10,12:00,1741588200,3.02,3.02,3.02,3.02,96429
2025-03-10,12:02,1741588320,3.16,3.16,3.16,3.16,97429
2025-03-10,12:08,1741588680,2.9,2.9,2.9,2.9,137032
2025-03-10,12:13,1741588980,2.91,2.91,2.91,2.91,165106
2025-03-10,12:17,1741589220,3.01,3.01,3.01,3.01,166606
2025-03-10,12:27,1741589820,3.01,3.01,3.01,3.01,167701
2025-03-10,12:42,1741590720,3.15,3.15,3.15,3.15,167801
2025-03-10,12:51,1741591260,3.15,3.15,3.15,3.15,168001
2025-03-10,12:53,1741591380,3.15,3.15,3.15,3.15,168023
2025-03-10,13:07,1741592220,3.02,3.02,3.02,3.02,168034
2025-03-10,13:10,1741592400,3.15,3.15,3.15,3.15,168134
2025-03-10,13:12,1741592520,3.15,3.15,3.15,3.15,168137
2025-03-10,13:16,1741592760,3.03,3.03,3.03,3.03,169137
2025-03-10,13:24,1741593240,3.15,3.15,3.15,3.15,169237
2025-03-10,13:28,1741593480,3.15,3.15,3.15,3.15,169337
2025-03-10,13:32,1741593720,3.15,3.15,3.15,3.15,169404
2025-03-10,13:35,1741593900,3.03,3.03,3.03,3.03,170181
2025-03-10,13:36,1741593960,3.03,3.03,3.03,3.03,170295
2025-03-10,13:41,1741594260,3.02,3.02,3.02,3.02,170495
2025-03-10,13:43,1741594380,3.03,3.03,3.03,3.03,170604
2025-03-10,13:50,1741594800,3.05,3.05,3.05,3.05,171924
2025-03-10,13:52,1741594920,2.92,3.14,2.92,3.14,196605
2025-03-10,13:56,1741595160,2.87,3.14,2.87,3.14,231845
2025-03-10,13:58,1741595280,3.15,3.15,3.15,3.15,231995
2025-03-10,14:06,1741595760,3.14,3.14,3.14,3.14,232115
2025-03-10,14:08,1741595880,3.14,3.14,3.14,3.14,233115
2025-03-10,14:15,1741596300,3.13,3.13,3.13,3.13,233265
2025-03-10,14:18,1741596480,3.15,3.15,3.15,3.15,233290
2025-03-10,14:23,1741596780,3.15,3.15,3.15,3.15,233605
2025-03-10,14:33,1741597380,3.01,3.01,3.01,3.01,233905
2025-03-10,14:48,1741598280,3.01,3.01,3.01,3.01,233965
2025-03-10,14:54,1741598640,3.05,3.05,3.05,3.05,234465
2025-03-10,15:07,1741599420,3.06,3.06,3.06,3.06,234559
2025-03-10,15:12,1741599720,3.05,3.05,3.05,3.05,235001
2025-03-10,15:15,1741599900,3.06,3.06,3.05,3.05,237002
2025-03-10,15:17,1741600020,2.88,2.88,2.88,2.88,242002
2025-03-10,15:18,1741600080,2.86,2.86,2.86,2.86,247002
2025-03-10,15:19,1741600140,2.86,2.86,2.86,2.86,247502
2025-03-10,15:21,1741600260,3.06,3.06,3.06,3.06,247961
2025-03-10,15:26,1741600560,2.98,2.98,2.98,2.98,248016
2025-03-10,15:28,1741600680,2.97,2.97,2.97,2.97,248461
2025-03-11,09:15,1741664700,2.98,2.98,2.86,2.86,3302
2025-03-11,09:18,1741664880,2.85,2.86,2.85,2.85,18352
2025-03-11,09:19,1741664940,2.89,2.89,2.89,2.89,18402
2025-03-11,09:20,1741665000,2.89,2.89,2.89,2.89,21123
2025-03-11,09:22,1741665120,2.88,2.88,2.88,2.88,21129
2025-03-11,09:23,1741665180,2.88,2.88,2.88,2.88,21159
2025-03-11,09:24,1741665240,2.83,2.83,2.83,2.83,21834
2025-03-11,09:26,1741665360,2.83,2.83,2.83,2.83,28090
2025-03-11,09:27,1741665420,2.82,2.82,2.82,2.82,28169
2025-03-11,09:28,1741665480,2.83,2.83,2.83,2.83,28183
2025-03-11,09:29,1741665540,2.83,2.83,2.83,2.83,46183
2025-03-11,09:30,1741665600,2.83,2.83,2.83,2.83,46283
2025-03-11,09:31,1741665660,2.82,2.82,2.82,2.82,46342
2025-03-11,09:32,1741665720,2.82,2.82,2.82,2.82,46375
2025-03-11,09:33,1741665780,2.82,2.82,2.82,2.82,46475
2025-03-11,09:35,1741665900,2.83,2.83,2.83,2.83,46535
2025-03-11,09:38,1741666080,2.83,2.83,2.83,2.83,46879
2025-03-11,09:40,1741666200,2.83,2.83,2.83,2.83,46909
2025-03-11,09:43,1741666380,2.83,2.83,2.83,2.83,46944
2025-03-11,09:46,1741666560,2.83,2.83,2.83,2.83,47001
2025-03-11,09:48,1741666680,2.83,2.83,2.83,2.83,47011
2025-03-11,09:49,1741666740,2.83,2.83,2.83,2.83,47311
2025-03-11,09:50,1741666800,2.83,2.83,2.83,2.83,47349
2025-03-11,09:52,1741666920,2.88,2.88,2.88,2.88,48073
2025-03-11,09:54,1741667040,2.88,2.88,2.88,2.88,48173
2025-03-11,09:55,1741667100,2.88,2.88,2.88,2.88,48374
2025-03-11,10:02,1741667520,2.88,2.88,2.88,2.88,49374
2025-03-11,10:03,1741667580,2.88,2.88,2.88,2.88,50374
2025-03-11,10:06,1741667760,2.84,2.84,2.84,2.84,50399
2025-03-11,10:07,1741667820,2.83,2.83,2.83,2.83,60510
2025-03-11,10:08,1741667880,2.83,2.83,2.83,2.83,60615
2025-03-11,10:09,1741667940,2.83,2.83,2.83,2.83,60743
2025-03-11,10:10,1741668000,2.83,2.83,2.83,2.83,60788
2025-03-11,10:12,1741668120,2.82,2.82,2.82,2.82,67659
2025-03-11,10:13,1741668180,2.83,2.83,2.83,2.83,70164
2025-03-11,10:15,1741668300,2.83,2.83,2.83,2.83,70182
2025-03-11,10:30,1741669200,2.89,2.89,2.89,2.89,70193
2025-03-11,10:31,1741669260,2.89,2.89,2.89,2.89,70593
2025-03-11,10:38,1741669680,2.9,2.9,2.85,2.85,71923
2025-03-11,10:39,1741669740,2.9,2.9,2.9,2.9,72048
2025-03-11,10:46,1741670160,2.89,2.89,2.89,2.89,72085
2025-03-11,10:53,1741670580,2.89,2.89,2.89,2.89,72243
2025-03-11,10:59,1741670940,2.86,2.86,2.86,2.86,72443
2025-03-11,11:04,1741671240,2.85,2.85,2.85,2.85,74193
2025-03-11,11:05,1741671300,2.85,2.85,2.85,2.85,74443
2025-03-11,11:06,1741671360,2.85,2.85,2.85,2.85,74448
2025-03-11,11:09,1741671540,2.85,2.85,2.85,2.85,75173
2025-03-11,11:18,1741672080,2.89,2.89,2.89,2.89,75223
2025-03-11,11:23,1741672380,2.89,2.89,2.89,2.89,75383
