Date,Time,Timestamp,Open,High,Low,Close,Volume
2025-02-17,09:18,1739764080,22.05,22.05,20.55,20.55,8
2025-02-17,09:19,1739764140,20.06,20.06,20.06,20.06,337
2025-02-17,09:33,1739764980,20.11,20.11,20.11,20.11,346
2025-02-17,09:36,1739765160,21.94,21.94,21.94,21.94,352
2025-02-17,09:38,1739765280,22.05,22.05,22.05,22.05,353
2025-02-17,09:52,1739766120,21.94,21.94,21.94,21.94,354
2025-02-17,10:40,1739769000,21.94,21.94,21.94,21.94,358
2025-02-17,11:00,1739770200,21.94,21.94,21.94,21.94,442
2025-02-17,11:52,1739773320,22.01,22.01,22.01,22.01,443
2025-02-18,09:30,1739851200,20.04,20.04,20.04,20.04,100
2025-02-18,09:40,1739851800,24,24,24,24,140
2025-02-18,09:43,1739851980,24,24,24,24,236
2025-02-18,09:44,1739852040,23,23,23,23,350
2025-02-18,09:45,1739852100,23,23,23,23,850
2025-02-18,10:07,1739853420,22,22,22,22,
2025-02-18,10:08,1739853480,22,22,22,22,903
2025-02-18,10:15,1739853900,22,22,22,22,913
2025-02-18,11:21,1739857860,22,22,22,22,914
2025-02-18,11:39,1739858940,21.89,21.89,21.89,21.89,944
2025-02-18,12:58,1739863680,22.99,22.99,22.99,22.99,945
2025-02-18,13:17,1739864820,22.99,22.99,22.99,22.99,946
2025-02-18,13:53,1739866980,22.99,22.99,22.99,22.99,952
2025-02-18,14:18,1739868480,22.99,22.99,22.99,22.99,954
2025-02-18,14:23,1739868780,21.52,22.93,21.52,22.93,957
2025-02-18,14:24,1739868840,21.47,21.47,21.46,21.46,1009
2025-02-18,14:28,1739869080,22.98,22.98,22.98,22.98,1010
2025-02-18,14:31,1739869260,22.99,22.99,22.98,22.98,1166
2025-02-18,15:15,1739871900,22.98,22.98,22.98,22.98,1229
2025-02-18,15:24,1739872440,22.98,22.98,22.98,22.98,1232
2025-02-18,15:26,1739872560,22.98,22.98,22.98,22.98,1562
2025-02-19,09:15,1739936700,23.2,23.2,23.2,23.2,9
2025-02-19,09:23,1739937180,23.78,23.78,23.78,23.78,24
2025-02-19,10:03,1739939580,23.67,23.67,23.67,23.67,74
2025-02-19,10:06,1739939760,23.67,23.67,23.67,23.67,78
2025-02-19,10:08,1739939880,23.67,23.67,23.67,23.67,80
2025-02-19,10:26,1739940960,23.78,23.78,23.78,23.78,120
2025-02-19,10:39,1739941740,25,25,25,25,125
2025-02-19,11:06,1739943360,25.24,25.24,25.12,25.12,365
2025-02-19,11:34,1739945040,24.85,24.86,24.85,24.86,367
2025-02-19,11:50,1739946000,25.24,25.24,25.24,25.24,
